CP,Colonia,alcaldía
3200,Tlacoquemécatl,Benito Juárez
3230,Actipan,Benito Juárez
3240,Acacias,Benito Juárez
3300,Portales Sur,Benito Juárez
3303,Portales Norte,Benito Juárez
3310,Santa Cruz Atoyac,Benito Juárez
3320,Residencial Emperadores,Benito Juárez
3330,Xoco,Benito Juárez
3340,General Pedro María Anaya,Benito Juárez
3400,Álamos,Benito Juárez
3410,Postal,Benito Juárez
3420,Miguel Alemán,Benito Juárez
3430,Josefa Ortiz de Domínguez,Benito Juárez
3440,Niños Héroes,Benito Juárez
3500,Nativitas,Benito Juárez
3510,Moderna,Benito Juárez
3520,Iztaccihuatl,Benito Juárez
3530,Villa de Cortes,Benito Juárez
3540,Del Carmen,Benito Juárez
3550,Zacahuitzco,Benito Juárez
3560,Albert,Benito Juárez
3570,Portales Oriente,Benito Juárez
3580,Miravalle,Benito Juárez
3590,Ermita,Benito Juárez
3600,Vértiz Narvarte,Benito Juárez
3610,Américas Unidas,Benito Juárez
3620,Periodista,Benito Juárez
3630,Independencia,Benito Juárez
3640,Del Lago,Benito Juárez
3650,Letrán Valle,Benito Juárez
3660,San Simón Ticumac,Benito Juárez
3700,Santa María Nonoalco,Benito Juárez
3710,Ciudad de los Deportes,Benito Juárez
3720,Nochebuena,Benito Juárez
3730,San Juan,Benito Juárez
3740,Extremadura Insurgentes,Benito Juárez
3800,San Pedro de los Pinos,Benito Juárez
3810,Nápoles,Benito Juárez
3820,8 de agosto,Benito Juárez
3840,Ampliación Nápoles,Benito Juárez
3900,San José Insurgentes,Benito Juárez
3910,Mixcoac,Benito Juárez
3920,Insurgentes Mixcoac,Benito Juárez
3930,Merced Gómez,Benito Juárez
3940,Crédito Constructor,Benito Juárez
4000,Villa Coyoacán,Coyoacán
4010,Santa Catarina,Coyoacán
4020,La Concepción,Coyoacán
4030,San Lucas,Coyoacán
4040,Parque San Andrés,Coyoacán
4100,Del Carmen,Coyoacán
4120,San Diego Churubusco,Coyoacán
4120,San Mateo,Coyoacán
4200,Campestre Churubusco,Coyoacán
4210,Churubusco Country Club,Coyoacán
4230,Prado Churubusco,Coyoacán
4240,Hermosillo,Coyoacán
4250,Paseos de Taxqueña,Coyoacán
4300,Ajusco,Coyoacán
4310,Romero de Terreros,Coyoacán
4318,Oxtopulco Universidad,Coyoacán
4320,Cuadrante de San Francisco,Coyoacán
4320,Pedregal de San Francisco,Coyoacán
4330,El Rosedal,Coyoacán
4330,Los Reyes,Coyoacán
4330,Del Niño Jesús,Coyoacán
4340,Copilco El Bajo,Coyoacán
4360,Copilco El Alto,Coyoacán
4360,Copilco Universidad,Coyoacán
4370,Atlántida,Coyoacán
4380,El Rosario,Coyoacán
4380,La Candelaria,Coyoacán
4390,Huayamilpas,Coyoacán
4390,Nueva Díaz Ordaz,Coyoacán
4400,Educación,Coyoacán
4410,Petrolera Taxqueña,Coyoacán
4450,El Centinela,Coyoacán
4460,Avante,Coyoacán
4500,Jardines del Pedregal de San Ángel,Coyoacán
4510,Universidad Nacional Autónoma de México,Coyoacán
4519,La Otra Banda,Coyoacán
4530,Insurgentes Cuicuilco,Coyoacán
4600,Pedregal de Santa Úrsula,Coyoacán
4610,Xotepingo,Coyoacán
4620,San Pablo Tepetlapa,Coyoacán
4630,Adolfo Ruiz Cortínes,Coyoacán
4640,El Reloj,Coyoacán
4650,Santa Úrsula Coapa,Coyoacán
4660,Joyas del Pedregal,Coyoacán
4700,Pedregal de Carrasco,Coyoacán
4710,Olímpica,Coyoacán
4730,Cantil del Pedregal,Coyoacán
4730,Bosques de Tetlameya,Coyoacán
4739,El Caracol,Coyoacán
4810,Prados de Coyoacán,Coyoacán
4815,Emiliano Zapata,Coyoacán
4830,Los Cipreses,Coyoacán
4870,Espartaco,Coyoacán
4890,Jardines de Coyoacán,Coyoacán
4890,Los Olivos,Coyoacán
4899,El Parque de Coyoacán,Coyoacán
4980,Viejo Ejido de Santa Úrsula Coapa,Coyoacán
5100,Lomas de Vista Hermosa,Cuajimalpa de Morelos
5120,Bosques de las Lomas,Cuajimalpa de Morelos
5200,San José de los Cedros,Cuajimalpa de Morelos
5219,Granjas Navidad,Cuajimalpa de Morelos
5240,El Molino,Cuajimalpa de Morelos
5348,Santa Fe Cuajimalpa,Cuajimalpa de Morelos
6100,Hipódromo,Cuauthémoc
6140,Condesa,Cuauthémoc
6170,Hipódromo Condesa,Cuauthémoc
6470,San Rafael,Cuauthémoc
6500,Cuauhtémoc,Cuauthémoc
6600,Juárez,Cuauthémoc
6700,Roma Norte,Cuauthémoc
6760,Roma Sur,Cuauthémoc
8200,Viaducto Piedad,Iztacalco
8830,Militar Marte,Iztacalco
9440,El Retoño,Iztapalapa
9440,San Andrés Tetepilco,Iztapalapa
9440,Zacahuitzco,Iztapalapa
9450,Banjidal,Iztapalapa
9460,Justo Sierra,Iztapalapa
9470,Sinatel,Iztapalapa
9479,Ampliación Sinatel,Iztapalapa
9480,El Prado,Iztapalapa
10130,El Maestro,Magdalena Contreras
10200,San Jerónimo Lídice,Magdalena Contreras
11000,Lomas de Chapultepec I Sección,Miguel Hidalgo
11000,Lomas de Chapultepec VIII Sección,Miguel Hidalgo
11000,Lomas de Chapultepec II Sección,Miguel Hidalgo
11000,Lomas de Chapultepec III Sección,Miguel Hidalgo
11000,Lomas de Chapultepec IV Sección,Miguel Hidalgo
11000,Lomas de Chapultepec V Sección,Miguel Hidalgo
11000,Lomas de Chapultepec VI Sección,Miguel Hidalgo
11000,Lomas de Chapultepec VII Sección,Miguel Hidalgo
11040,Molino del Rey,Miguel Hidalgo
11530,Polanco II Sección,Miguel Hidalgo
11540,Polanco III Sección,Miguel Hidalgo
11550,Polanco IV Sección,Miguel Hidalgo
11560,Polanco V Sección,Miguel Hidalgo
11590,Anzures,Miguel Hidalgo
11700,Bosque de las Lomas,Miguel Hidalgo
11800,Escandón I Sección,Miguel Hidalgo
11800,Escandón II Sección,Miguel Hidalgo
11850,San Miguel Chapultepec I Sección,Miguel Hidalgo
11850,San Miguel Chapultepec II Sección,Miguel Hidalgo
11870,Tacubaya,Miguel Hidalgo
11910,Lomas de Bezares,Miguel Hidalgo
11920,Real de las Lomas,Miguel Hidalgo
11930,Lomas de Reforma,Miguel Hidalgo
11950,Lomas Altas,Miguel Hidalgo
14000,Tlalpan Centro,Tlalpan
14000,Tlalpan,Tlalpan
14010,Parque del Pedregal,Tlalpan
14020,Villa Olímpica,Tlalpan
14030,Isidro Fabela,Tlalpan
14039,Ampliación Isidro Fabela,Tlalpan
14040,Cantera Puente de Piedra,Tlalpan
14040,Pueblo Quieto,Tlalpan
14049,Comuneros de Santa Úrsula,Tlalpan
14050,Toriello Guerra,Tlalpan
14060,Peña Pobre,Tlalpan
14070,Rómulo Sánchez Mireles,Tlalpan
14070,San Fernando,Tlalpan
14070,San Pedro Apóstol,Tlalpan
14080,Belisario Domínguez Sección XVI,Tlalpan
14080,Del Niño Jesús,Tlalpan
14090,La Joya,Tlalpan
14140,Fuentes del Pedregal,Tlalpan
14150,Lomas del Pedregal Framboyanes,Tlalpan
14160,Popular Santa Teresa,Tlalpan
14200,Héroes de Padierna,Tlalpan
14200,Jardines del Ajusco,Tlalpan
14208,Colinas del Ajusco,Tlalpan
14240,Lomas Hidalgo,Tlalpan
14248,Cruz del Farol,Tlalpan
14250,Miguel Hidalgo 3A Sección,Tlalpan
14250,Miguel Hidalgo 4A Sección,Tlalpan
14300,Nueva Oriental Coapa,Tlalpan
14300,Residencial Acoxpa,Tlalpan
14300,Residencial Miramontes,Tlalpan
14308,Ex Hacienda Coapa,Tlalpan
14310,Belisario Domínguez,Tlalpan
14310,Floresta Coyoacán,Tlalpan
14320,Vergel Coapa,Tlalpan
14325,Rinconada Coapa 2A Sección,Tlalpan
14326,Tenorios,Tlalpan
14340,Vergel de Coyoacán,Tlalpan
14340,Vergel del Sur,Tlalpan
14350,Prado Coapa 1A Sección,Tlalpan
14357,Prado Coapa 2A Sección,Tlalpan
14357,Prado Coapa 3A Sección,Tlalpan
14360,Magisterial,Tlalpan
14360,Magisterial Coapa,Tlalpan
14370,Residencial Chimali,Tlalpan
14370,San Lorenzo Huipulco,Tlalpan
14370,Villa Lázaro Cárdenas,Tlalpan
14376,Arboledas del Sur,Tlalpan
14377,Hacienda San Juan,Tlalpan
14380,A.M.S.A,Tlalpan
14380,San Bartolo El Chico,Tlalpan
14386,Rancho los Colorines,Tlalpan
14387,Ex Hacienda San Juan de Dios,Tlalpan
14388,Guadalupe,Tlalpan
14389,Arenal de Guadalupe,Tlalpan
14390,Rinconada Las Hadas,Tlalpan
14390,Narciso Mendoza,Tlalpan
14390,Residencial Villa Coapa,Tlalpan
14390,Villa Coapa,Tlalpan
14600,Valle Escondido,Tlalpan
14620,Club de Golf México,Tlalpan
14643,Fuentes de Tepepan,Tlalpan
14646,Valle de Tepepan,Tlalpan
14647,Juventud Unida,Tlalpan
14647,Movimiento Organizado de Tlalpan,Tlalpan
14647,Rinconada El Mirador,Tlalpan
16010,Bosque Residencial del Sur,Xochimilco
16010,Las Peritas,Xochimilco
16010,Paseos del Sur,Xochimilco
16010,San Bartolo El Chico,Xochimilco
16020,San Juan Tepepan,Xochimilco
16020,Santa María Tepepan,Xochimilco
16030,Huichapan,Xochimilco
16030,La Noria,Xochimilco
16030,Potrero de San Bernardino,Xochimilco
16030,Ampliación La Noria,Xochimilco
16034,18,Xochimilco
16035,San Lorenzo La Cebada,Xochimilco
16050,Jardines del Sur,Xochimilco
16050,San Marcos,Xochimilco
16050,Tierra Nueva,Xochimilco
16059,"Pblo. Stgo.Tepalcatlalpan, U. H. Rinconada del Sur",Xochimilco
